komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
peralatan,Cangkul,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
peralatan,Parang,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
tenaga kerja buah,"pembuatan lubang, tanam, pagar",hok,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja buah,penyiangan,hok,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
tenaga kerja buah,pruning,hok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenaga kerja buah,pemanenan durian,hok,,,,,,,,,,,,2,,,8,,,8,,,8,,,8,,,8,,,8
tenaga kerja buah,pemanenan duku,hok,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
tenaga kerja buah,pemanenan jengkol,hok,,,,,,,,,,,,2,2,3,3,4,4,5,7,8,8,8,8,8,8,8,8,8,8,8
