komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
sampingan,padi,kg,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utama,karet basah,kg,0,0,0,0,0,313.304886,717.3460728,1102.084344,1201.29253,1257.967061,1368.024907,1393.650487,1411.039354,1390.472217,1369.082866,1351.605975,1332.752672,1282.759968,1232.46401,1200.862369,1164.760201,1128.831483,1088.619667,1053.114724,978.3572041,904.6574388,836.2508415,768.7860601,698.56591,633.3467518
sampingan,kayu karet,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
