Jumlah Hari Sadap,Musim Kemarau: 6 bulan,Musin Hujan: 3 bulan,Musim Tidak Sadap: 3 bulan
Per minggu,5 hari,2 hari,0 hari
Total,120 hari,36 hari,0 hari
