sut,komoditas,provinsi,tahun,tipe lahan,tipe kebun,faktor,komponen,jenis,unit,unit harga,harga privat,harga sosial,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja karet,penyadapan,hok,rp,80000,80000,0,0,0,0,0,0,0,0,10,8.28482265,15.15518843,20.12550462,21.88182263,22.03799463,22.34630389,23.09051394,23.9986773,24.15463172,24.46237243,24.76458489,25.06130421,24.57742453,24.4347716,23.38345913,21.87827577,21.87827577,21.17018263,20.73014775,19.97111573,19.246817
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja panen,panen durian,hok,rp,80000,80000,,,,,,,,,,,,2,,,8,,,8,,,8,,,8,,,8,,,8
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja panen,panen duku,hok,rp,80000,80000,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,input,tenaga kerja panen,panen jengkol,hok,rp,80000,80000,,,,,,,,,,,,2,2,3,3,4,4,5,7,8,8,8,8,8,8,8,8,8,8,8
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,Padi,kg,Rp/kg,8000,8000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,utama,Karet basah,kg,Rp/kg,6500,6500,0,0,0,0,0,0,0,0,0,203.934096,373.050792,495.3970368,538.62948,542.4737139,550.0628649,568.3818816,590.736672,594.57555,602.150706,609.589782,616.893642,604.9827576,601.471301,575.59284,538.5421728,538.5421728,521.1121878,510.28056,491.596695,473.767803
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,Durian ,butir,Rp/btr,5000,5000,,,,,,,,,,,,100,,,200,,,300,,,300,,,300,,,300,,,300
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,Duku ,kg,Rp/kg,6000,6000,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,Jengkol ,kg,Rp/kg,8000,8000,,,,,,,,,,,,100,150,300,300,350,400,500,600,600,600,600,600,600,600,600,600,600,600,600
AGROFORESTRI,KARET AF,ACEH,2020,MINERAL,SMALLHOLDER,output,sampingan,kayu karet,m3,Rp/m3,300000,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
