Persiapan Lahan,Pembuatan parit,Pemeliharaan parit,Penanaman (Tugal dan tanam),Penyiangan/penyemprotan,Panen,Pasca panen (kupas dan jemur)
50000,60000,60000,50000,50000,50000,50000
50000,60000,60000,50000,50000,50000,50000
