komponen,keterangan,unit,harga privat,harga sosial
peralatan,Cangkul,Rp/unit,100000,100000
peralatan,Parang,Rp/unit,75000,75000
tenaga kerja buah,"pembuatan lubang, tanam, pagar",Rp/HOK,80000,80000
tenaga kerja buah,penyiangan,Rp/HOK,80000,80000
tenaga kerja buah,pruning,Rp/HOK,80000,80000
tenaga kerja buah,pemanenan durian,Rp/HOK,80000,80000
tenaga kerja buah,pemanenan duku,Rp/HOK,80000,80000
tenaga kerja buah,pemanenan jengkol,Rp/HOK,80000,80000
