komponen,keterangan,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
sampingan,Padi,kg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utama,Karet basah,kg,0,0,0,0,0,0,0,0,0,203.934096,373.050792,495.3970368,538.62948,542.4737139,550.0628649,568.3818816,590.736672,594.57555,602.150706,609.589782,616.893642,604.9827576,601.471301,575.59284,538.5421728,538.5421728,521.1121878,510.28056,491.596695,473.767803
sampingan,Durian ,butir,,,,,,,,,,,,100,,,200,,,300,,,300,,,300,,,300,,,300
sampingan,Duku ,kg,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
sampingan,Jengkol ,kg,,,,,,,,,,,,100,150,300,300,350,400,500,600,600,600,600,600,600,600,600,600,600,600,600
sampingan,kayu karet,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
