FID,PROVINSI,KECAMATAN,DESA,KABKOT
0,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,PASIR TINGGI,SIMEULUE
1,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN JAYA,SIMEULUE
2,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,SEUNEUBOK,SIMEULUE
3,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BATU RALANG,SIMEULUE
4,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,KEBUN BARU,SIMEULUE
5,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,PULAU BENGKALAK,SIMEULUE
6,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BADEGONG,SIMEULUE
7,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,ANA AO,SIMEULUE
8,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,DIHIT,SIMEULUE
9,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SITUFA JAYA,SIMEULUE
10,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAKUBANG,SIMEULUE
11,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,BUBUHAN,SIMEULUE
12,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,AMARABU,SIMEULUE
13,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA PADANG,SIMEULUE
14,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LATAK AYAH,SIMEULUE
15,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,BORENGAN,SIMEULUE
16,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAUREE,SIMEULUE
17,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SUAK BARU,SIMEULUE
18,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS MERANTI,SIMEULUE
19,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS JERNGE,SIMEULUE
20,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAUKE,SIMEULUE
21,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,PUTRA JAYA,SIMEULUE
22,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LUAN SORIP,SIMEULUE
23,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAMBAYA,SIMEULUE
24,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SEBBE,SIMEULUE
25,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LATITIK,SIMEULUE
26,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,LAMAYANG,SIMEULUE
27,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA BATU,SIMEULUE
28,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,WEL WEL,SIMEULUE
29,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,WEL LANGKOM,SIMEULUE
30,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KUTA INANG,SIMEULUE
31,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,SIBULUH,SIMEULUE
32,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,UJUNG PADANG,SIMEULUE
33,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,HUTAN,SIMEULUE
34,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,BLANG SEBEL,SIMEULUE
35,NANGGROE ACEH DARUSSALAM,SIMEULUE TENGAH,KAMPUNG AIE,SIMEULUE
36,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,ULUL MANYANG,SIMEULUE
37,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,AREA PDKS,SIMEULUE
38,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN BAKTI,SIMEULUE
39,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,ANGKEO,SIMEULUE
40,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SITAL,SIMEULUE
41,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,LANTIK,SIMEULUE
42,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LABUHAN BAJAU,SIMEULUE
43,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LATALING,SIMEULUE
44,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,TRANS BARU,SIMEULUE
45,NANGGROE ACEH DARUSSALAM,TELUK DALAM,KUALA BAKTI,SIMEULUE
46,NANGGROE ACEH DARUSSALAM,TELUK DALAM,GUNUNG PUTIH,SIMEULUE
47,NANGGROE ACEH DARUSSALAM,TELUK DALAM,BABUSSALAM,SIMEULUE
48,NANGGROE ACEH DARUSSALAM,TELUK DALAM,MUARA AMAN,SIMEULUE
49,NANGGROE ACEH DARUSSALAM,TELUK DALAM,LUAN BALU,SIMEULUE
50,NANGGROE ACEH DARUSSALAM,TELUK DALAM,SAMBAI,SIMEULUE
51,NANGGROE ACEH DARUSSALAM,TELUK DALAM,BULU HADIK,SIMEULUE
52,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,MATANURUNG,SIMEULUE
53,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,LASIKIN,SIMEULUE
54,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,LANTING,SIMEULUE
55,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,UJUNG TINGGI,SIMEULUE
56,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SIMPANG ABAIL,SIMEULUE
57,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,NANCAWA,SIMEULUE
58,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,SINAR BAHAGIA,SIMEULUE
59,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,LABUAH,SIMEULUE
60,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SITUBUK,SIMEULUE
61,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,AIR PINANG,SIMEULUE
62,NANGGROE ACEH DARUSSALAM,ALAFAN,LAMEREM,SIMEULUE
63,NANGGROE ACEH DARUSSALAM,ALAFAN,LEWAK,SIMEULUE
64,NANGGROE ACEH DARUSSALAM,ALAFAN,LHOK DALAM,SIMEULUE
65,NANGGROE ACEH DARUSSALAM,ALAFAN,LUBUK BAIK,SIMEULUE
66,NANGGROE ACEH DARUSSALAM,ALAFAN,LANGI,SIMEULUE
67,NANGGROE ACEH DARUSSALAM,ALAFAN,SERAFON,SIMEULUE
68,NANGGROE ACEH DARUSSALAM,ALAFAN,LHOK PAUH,SIMEULUE
69,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,MITEUM,SIMEULUE
70,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,SANGGIRAN,SIMEULUE
71,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,LHOK BIKHAO,SIMEULUE
72,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,UJUNG HARAPAN,SIMEULUE
73,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,BABUL MAKMUR,SIMEULUE
74,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,LAYABAUNG,SIMEULUE
75,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,SIGULAI,SIMEULUE
76,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,LAMAMEK,SIMEULUE
77,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,MALASIN,SIMEULUE
78,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,AMABAAN,SIMEULUE
79,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,LEUBANG,SIMEULUE
80,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,AWE SEUBAL,SIMEULUE
81,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,LAAYON,SIMEULUE
82,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,BUNON,SIMEULUE
83,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SILENGAS,SIMEULUE
84,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,PULAU TEUPAH,SIMEULUE
85,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,AWE KECIL,SIMEULUE
86,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SALUR LATUN,SIMEULUE
87,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SALUR,SIMEULUE
88,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,NAIBOS,SIMEULUE
89,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,INOR,SIMEULUE
90,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,MAUDIL,SIMEULUE
91,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,NANCALA,SIMEULUE
92,NANGGROE ACEH DARUSSALAM,SALANG,PANTON LAWE,SIMEULUE
93,NANGGROE ACEH DARUSSALAM,SALANG,MUTIARA,SIMEULUE
94,NANGGROE ACEH DARUSSALAM,SALANG,KARYA BAKTI,SIMEULUE
95,NANGGROE ACEH DARUSSALAM,SALANG,TAMON,SIMEULUE
96,NANGGROE ACEH DARUSSALAM,SALANG,MEUNAFA,SIMEULUE
97,NANGGROE ACEH DARUSSALAM,SALANG,JAYA BARU,SIMEULUE
98,NANGGROE ACEH DARUSSALAM,SALANG,TAMENG,SIMEULUE
99,NANGGROE ACEH DARUSSALAM,SALANG,LALLA,SIMEULUE
100,NANGGROE ACEH DARUSSALAM,SALANG,GANANG PUSAKO,SIMEULUE
101,NANGGROE ACEH DARUSSALAM,SALANG,KENANGAN,SIMEULUE
102,NANGGROE ACEH DARUSSALAM,SALANG,SUAK MANANG,SIMEULUE
103,NANGGROE ACEH DARUSSALAM,SALANG,BUNGA,SIMEULUE
104,NANGGROE ACEH DARUSSALAM,SALANG,NASREUHE,SIMEULUE
105,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,SALUR LASENGALU,SIMEULUE
106,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,KUALA MAKMUR,SIMEULUE
107,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SUAK BULUH,SIMEULUE
108,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,BUSUNG INDAH,SIMEULUE
109,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,PULAU SIUMAT,SIMEULUE
110,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,GANTING,SIMEULUE
111,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,LATIUNG,SIMEULUE
112,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,AMERIA BAHAGIA,SIMEULUE
113,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,LINGGI,SIMEULUE
114,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,SEMBILAN,SIMEULUE
115,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,LHOK MAKMUR,SIMEULUE
116,NANGGROE ACEH DARUSSALAM,TELUK DALAM,LUGU SEBAHAK,SIMEULUE
117,NANGGROE ACEH DARUSSALAM,TELUK DALAM,KUALA BARU,SIMEULUE
118,NANGGROE ACEH DARUSSALAM,TELUK DALAM,TANJUNG RAYA,SIMEULUE
119,NANGGROE ACEH DARUSSALAM,TEUPAH BARAT,LEUBANG HULU,SIMEULUE
120,NANGGROE ACEH DARUSSALAM,SALANG,PADANG UNOI,SIMEULUE
121,NANGGROE ACEH DARUSSALAM,SALANG,ALONG,SIMEULUE
122,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SUKA MAJU,SIMEULUE
123,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SUKA KARYA,SIMEULUE
124,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,ABAIL,SIMEULUE
125,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,KAHAT,SIMEULUE
126,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,LUGU,SIMEULUE
127,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,AIR DINGIN,SIMEULUE
128,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SINABANG,SIMEULUE
129,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SUKA JAYA,SIMEULUE
130,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,AMAITENG MULIA,SIMEULUE
131,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,BATU BATU,SIMEULUE
132,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SEFOYAN,SIMEULUE
133,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,KOTA BATU,SIMEULUE
134,NANGGROE ACEH DARUSSALAM,SIMEULUE TIMUR,SUA SUA,SIMEULUE
135,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,ALUS ALUS,SIMEULUE
136,NANGGROE ACEH DARUSSALAM,TEUPAH SELATAN,SUAK LAMATAN,SIMEULUE
137,NANGGROE ACEH DARUSSALAM,ALAFAN,LAFAKHA,SIMEULUE
138,NANGGROE ACEH DARUSSALAM,SALANG,UJUNG SALANG,SIMEULUE
139,NANGGROE ACEH DARUSSALAM,SIMEULUE BARAT,BATU RAGI,SIMEULUE
140,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,TUGAN,ACEH SINGKIL
141,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,PANGI,ACEH SINGKIL
142,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,SIDODADI,ACEH SINGKIL
143,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SEPING BARU,ACEH SINGKIL
144,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,PENJAHITAN,ACEH SINGKIL
145,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,LABUHAN KERA,ACEH SINGKIL
146,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,TANJUNG BETIK,ACEH SINGKIL
147,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,PERANGUSAN,ACEH SINGKIL
148,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,ALUR LINCI,ACEH SINGKIL
149,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,ASANTOLA,ACEH SINGKIL
150,NANGGROE ACEH DARUSSALAM,DANAU PARIS,BISKANG,ACEH SINGKIL
151,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,BLOK 15,ACEH SINGKIL
152,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,UJUNG SIALIT,ACEH SINGKIL
153,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,UJUNG LIMUS,ACEH SINGKIL
154,NANGGROE ACEH DARUSSALAM,SINGKIL,UJUNG BAWANG,ACEH SINGKIL
155,NANGGROE ACEH DARUSSALAM,SINGKIL,UJUNG,ACEH SINGKIL
156,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,TUNAS HARAPAN,ACEH SINGKIL
157,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,TULAAN,ACEH SINGKIL
158,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,TUH TUHAN,ACEH SINGKIL
159,NANGGROE ACEH DARUSSALAM,SINGKIL,TELUK RUMBIA,ACEH SINGKIL
160,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,TELUK NIBUNG,ACEH SINGKIL
161,NANGGROE ACEH DARUSSALAM,SINGKIL,TELUK AMBUN,ACEH SINGKIL
162,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,TELAGA BAKTI,ACEH SINGKIL
163,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,TANJUNG MAS,ACEH SINGKIL
164,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,TANAH MERAH,ACEH SINGKIL
165,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,TANAH BARA,ACEH SINGKIL
166,NANGGROE ACEH DARUSSALAM,SINGKIL,TAKAL PASIR,ACEH SINGKIL
167,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,SURO BARU,ACEH SINGKIL
168,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,SUMBER MUKTI,ACEH SINGKIL
169,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,SUKAREJO,ACEH SINGKIL
170,NANGGROE ACEH DARUSSALAM,SINGKIL,SUKA MAKMUR,ACEH SINGKIL
171,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,SUKA MAKMUR,ACEH SINGKIL
172,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SUKA MAKMUR,ACEH SINGKIL
173,NANGGROE ACEH DARUSSALAM,KUALA BARU,SUKA JAYA,ACEH SINGKIL
174,NANGGROE ACEH DARUSSALAM,SINGKIL,SUKA DAMAI,ACEH SINGKIL
175,NANGGROE ACEH DARUSSALAM,SINGKOHOR,SRI KAYU,ACEH SINGKIL
176,NANGGROE ACEH DARUSSALAM,DANAU PARIS,SITUBUH-TUBUH,ACEH SINGKIL
177,NANGGROE ACEH DARUSSALAM,DANAU PARIS,SITUBAN MAKMUR,ACEH SINGKIL
178,NANGGROE ACEH DARUSSALAM,SINGKIL,SITI AMBIA,ACEH SINGKIL
179,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,SIRIMO MUNGKUR,ACEH SINGKIL
180,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,SIOMPIN,ACEH SINGKIL
181,NANGGROE ACEH DARUSSALAM,SINGKOHOR,SINGKOHOR,ACEH SINGKIL
182,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,SILATONG,ACEH SINGKIL
183,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,SELAKAR UDANG,ACEH SINGKIL
184,NANGGROE ACEH DARUSSALAM,DANAU PARIS,SIKORAN,ACEH SINGKIL
185,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SIDOREJO,ACEH SINGKIL
186,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,SIATAS,ACEH SINGKIL
187,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SIANJO ANJO MERIAH,ACEH SINGKIL
188,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,SERASAH,ACEH SINGKIL
189,NANGGROE ACEH DARUSSALAM,SINGKIL,SELOK ACEH,ACEH SINGKIL
190,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SEBATANG,ACEH SINGKIL
191,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,SANGGABERU SILULUSAN,ACEH SINGKIL
192,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,SAMAR DUA,ACEH SINGKIL
193,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,RIMO,ACEH SINGKIL
194,NANGGROE ACEH DARUSSALAM,SINGKIL,RANTAU GEDANG,ACEH SINGKIL
195,NANGGROE ACEH DARUSSALAM,SINGKIL,PULAU SAROK,ACEH SINGKIL
196,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,PULAU BALAI,ACEH SINGKIL
197,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,PULAU BAGUK,ACEH SINGKIL
198,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,PERTAMPAKAN,ACEH SINGKIL
199,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,PERTABAS,ACEH SINGKIL
200,NANGGROE ACEH DARUSSALAM,SINGKIL,PEMUKA,ACEH SINGKIL
201,NANGGROE ACEH DARUSSALAM,SINGKOHOR,PEA JAMBU,ACEH SINGKIL
202,NANGGROE ACEH DARUSSALAM,SINGKIL,PEA BUMBUNG,ACEH SINGKIL
203,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,PANGKALAN SILUMPI,ACEH SINGKIL
204,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,PANDAN SARI,ACEH SINGKIL
205,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,PANDAN SARI,ACEH SINGKIL
206,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,PAKIRAMAN,ACEH SINGKIL
207,NANGGROE ACEH DARUSSALAM,DANAU PARIS,NAPA GALUH,ACEH SINGKIL
208,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,MUKTI LINCIR,ACEH SINGKIL
209,NANGGROE ACEH DARUSSALAM,SINGKOHOR,MUKTI JAYA,ACEH SINGKIL
210,NANGGROE ACEH DARUSSALAM,SINGKOHOR,MUKTI HARAPAN,ACEH SINGKIL
211,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,MANDUMPANG,ACEH SINGKIL
212,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LIPAT KAJANG ATAS,ACEH SINGKIL
213,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LIPAT KAJANG,ACEH SINGKIL
214,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,LENTONG,ACEH SINGKIL
215,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,LAPAHAN BUAYA,ACEH SINGKIL
216,NANGGROE ACEH DARUSSALAM,SINGKOHOR,LAE SIPOLA,ACEH SINGKIL
217,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LAE RIMAN,ACEH SINGKIL
218,NANGGROE ACEH DARUSSALAM,SINGKOHOR,LAE PINANG,ACEH SINGKIL
219,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LAE NIPE,ACEH SINGKIL
220,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LAE GECIH,ACEH SINGKIL
221,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,GUHA,ACEH SINGKIL
222,NANGGROE ACEH DARUSSALAM,SINGKIL,KILANGAN,ACEH SINGKIL
223,NANGGROE ACEH DARUSSALAM,PULAU BANYAK,HALOBAN,ACEH SINGKIL
224,NANGGROE ACEH DARUSSALAM,KUALA BARU,KUALA BARU LAUT,ACEH SINGKIL
225,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,LAE BUTAR,ACEH SINGKIL
226,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,LAE CIKALA,ACEH SINGKIL
227,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,LAE GAMBIR,ACEH SINGKIL
228,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,LAE BANGUN,ACEH SINGKIL
229,NANGGROE ACEH DARUSSALAM,DANAU PARIS,LAE BALNO,ACEH SINGKIL
230,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,LADANG BISIK,ACEH SINGKIL
231,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,KUTA TINGGI,ACEH SINGKIL
232,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,KUTA KERANGAN,ACEH SINGKIL
233,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,KUTA BATU,ACEH SINGKIL
234,NANGGROE ACEH DARUSSALAM,KUALA BARU,KUALA BARU SUNGAI,ACEH SINGKIL
235,NANGGROE ACEH DARUSSALAM,SINGKIL,KOTA SIMBOLING,ACEH SINGKIL
236,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,KETAPANG INDAH,ACEH SINGKIL
237,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,KETANGKUHAN,ACEH SINGKIL
238,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,KERAS,ACEH SINGKIL
239,NANGGROE ACEH DARUSSALAM,KUALA BARU,KAYU MENANG,ACEH SINGKIL
240,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,KAMPUNG BARU,ACEH SINGKIL
241,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,KAIN GOLONG,ACEH SINGKIL
242,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,GUNUNG LAGAN,ACEH SINGKIL
243,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,GOSONG TELAGA UTARA,ACEH SINGKIL
244,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,GOSONG TELAGA TIMUR,ACEH SINGKIL
245,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,GOSONG TELAGA SELATAN,ACEH SINGKIL
246,NANGGROE ACEH DARUSSALAM,SINGKIL UTARA,GOSONG TELAGA BARAT,ACEH SINGKIL
247,NANGGROE ACEH DARUSSALAM,DANAU PARIS,DANAU PINANG,ACEH SINGKIL
248,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,DANAU BUNGARA,ACEH SINGKIL
249,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,CINGKAM,ACEH SINGKIL
250,NANGGROE ACEH DARUSSALAM,SIMPANG KANAN,CIBUBUKAN,ACEH SINGKIL
251,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,BUTAR,ACEH SINGKIL
252,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,BULU ARA,ACEH SINGKIL
253,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,BUKIT HARAPAN,ACEH SINGKIL
254,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,BLOK VI BARU,ACEH SINGKIL
255,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,BLOK 31,ACEH SINGKIL
256,NANGGROE ACEH DARUSSALAM,GUNUNG MERIAH,BLOK 18,ACEH SINGKIL
257,NANGGROE ACEH DARUSSALAM,KOTA BAHARU,MUARA PEA,ACEH SINGKIL
258,NANGGROE ACEH DARUSSALAM,SINGKIL,PASAR SINGKIL,ACEH SINGKIL
259,NANGGROE ACEH DARUSSALAM,SURO MAKMUR,BULU SEMA,ACEH SINGKIL
260,NANGGROE ACEH DARUSSALAM,TRUMON,KUTA PADANG,ACEH SELATAN
261,NANGGROE ACEH DARUSSALAM,TRUMON,RAKET,ACEH SELATAN
262,NANGGROE ACEH DARUSSALAM,TRUMON,GAMPONG TENGAH,ACEH SELATAN
263,NANGGROE ACEH DARUSSALAM,TRUMON,TEPIN TINGGI,ACEH SELATAN
264,NANGGROE ACEH DARUSSALAM,TRUMON,IE MEUDAMA,ACEH SELATAN
265,NANGGROE ACEH DARUSSALAM,TRUMON,UJUNG TANOH,ACEH SELATAN
266,NANGGROE ACEH DARUSSALAM,TRUMON,KEUDE TRUMON,ACEH SELATAN
267,NANGGROE ACEH DARUSSALAM,TRUMON,KUTA BARU,ACEH SELATAN
268,NANGGROE ACEH DARUSSALAM,TRUMON,SINGLENG,ACEH SELATAN
269,NANGGROE ACEH DARUSSALAM,TRUMON,PANTON BILI,ACEH SELATAN
270,NANGGROE ACEH DARUSSALAM,TRUMON,GUNONG KAPHO,ACEH SELATAN
271,NANGGROE ACEH DARUSSALAM,TRUMON,GAMPONG TEUNGOH,ACEH SELATAN
272,NANGGROE ACEH DARUSSALAM,TRUMON,KRUENG BATEE,ACEH SELATAN
273,NANGGROE ACEH DARUSSALAM,TRUMON,PULO PAYA,ACEH SELATAN
274,NANGGROE ACEH DARUSSALAM,TRUMON,UPT II PADANG HARAPAN,ACEH SELATAN
275,NANGGROE ACEH DARUSSALAM,TRUMON,SENEUBOK JAYA (EX UPT V),ACEH SELATAN
276,NANGGROE ACEH DARUSSALAM,TRUMON TIMUR,TITI POBEN,ACEH SELATAN
277,NANGGROE ACEH DARUSSALAM,TRUMON TIMUR,ALUR BUJOK,ACEH SELATAN
278,NANGGROE ACEH DARUSSALAM,TRUMON TIMUR,SEUNEUBOK PUNTHO,ACEH SELATAN
279,NANGGROE ACEH DARUSSALAM,TRUMON TIMUR,LADANG RIMBA,ACEH SELATAN
280,NANGGROE ACEH DARUSSALAM,TRUMON TIMUR,JAMBO PAPEUN,ACEH SELATAN
