Grup,Var1,Var2,Unit,Private Price,Social Price
Output,Sampingan,Padi,Rp/kg,6000,6000
Output,Utama,Karet basah,Rp/kg,7500,24000
Output,Sampingan,Kayu karet,Rp/m3,300000,350000
