Grup,Var1,Var2,Unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
Output,Sampingan,Padi,kg,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Output,Utama,Kopi,kg,0,120,1500,1500,900,900,900,1500,1500,600,600,600,600,600,900,900,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Output,Sampingan,Durian,Buah ,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Output,Sampingan,Jengkol,kg,,,,,,,,,,,,100,150,300,300,350,400,400,400,400,400,400,400,400,400,400,400,400,400,400
